"","X","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"85",1246,37,"blue-collar","married","secondary","no",0,"yes","no","cellular",2,"apr",473,1,-1,0,"unknown",0
"86",1484,56,"blue-collar","married","primary","no",862,"yes","yes","unknown",7,"may",198,2,-1,0,"unknown",0
"87",3364,27,"entrepreneur","married","unknown","no",345,"yes","yes","cellular",6,"may",465,1,289,4,"failure",0
"88",541,32,"management","married","tertiary","no",2172,"yes","no","cellular",22,"aug",306,4,-1,0,"unknown",0
"89",1655,30,"technician","single","secondary","no",-754,"yes","yes","unknown",26,"may",974,1,-1,0,"unknown",0
"90",937,35,"management","single","tertiary","no",2988,"yes","no","cellular",25,"may",179,1,-1,0,"unknown",0
"91",965,49,"entrepreneur","divorced","secondary","no",2908,"no","no","unknown",6,"jun",322,1,-1,0,"unknown",0
"92",843,46,"technician","married","secondary","no",5681,"no","no","telephone",31,"jul",43,5,-1,0,"unknown",0
"93",56,55,"self-employed","married","secondary","no",-196,"yes","no","unknown",20,"may",210,2,-1,0,"unknown",0
"94",2623,39,"technician","single","tertiary","no",1646,"yes","no","unknown",5,"jun",474,2,-1,0,"unknown",0
"95",1711,30,"management","married","tertiary","no",1119,"no","no","cellular",6,"aug",199,7,-1,0,"unknown",0
"96",2078,59,"retired","married","secondary","no",3414,"no","no","telephone",30,"jul",117,6,-1,0,"unknown",0
"97",2853,53,"management","married","tertiary","no",4,"no","no","unknown",20,"jun",19,6,-1,0,"unknown",0
"98",1235,55,"services","married","secondary","no",477,"no","no","unknown",19,"jun",170,1,-1,0,"unknown",0
"99",2357,79,"retired","divorced","unknown","no",2628,"no","no","telephone",8,"jul",220,7,450,2,"failure",0
"100",828,46,"management","divorced","unknown","no",2,"yes","no","unknown",6,"may",187,1,-1,0,"unknown",0
"101",227,41,"technician","married","secondary","no",261,"no","yes","unknown",5,"jun",222,1,-1,0,"unknown",0
"102",1222,47,"blue-collar","married","primary","no",550,"yes","no","unknown",7,"may",113,1,-1,0,"unknown",0
"103",60,50,"services","married","secondary","no",517,"yes","no","unknown",26,"may",420,2,-1,0,"unknown",0
"104",635,35,"technician","married","tertiary","no",1654,"no","no","cellular",7,"aug",169,2,-1,0,"unknown",0
"105",1854,35,"services","married","secondary","no",5029,"yes","yes","unknown",2,"jun",369,2,-1,0,"unknown",0
"106",3395,41,"admin.","married","secondary","no",875,"no","yes","cellular",27,"aug",247,6,-1,0,"unknown",0
"107",1310,55,"services","married","secondary","no",697,"yes","no","unknown",15,"may",206,1,-1,0,"unknown",0
"108",1063,30,"management","single","tertiary","no",938,"no","no","cellular",26,"may",172,2,105,1,"other",0
"109",2905,26,"management","single","tertiary","no",45,"no","no","cellular",10,"jul",1187,3,-1,0,"unknown",1
"110",2877,44,"management","single","tertiary","no",5063,"no","no","cellular",27,"oct",418,2,-1,0,"unknown",1
"111",2800,47,"self-employed","married","tertiary","no",3072,"no","no","cellular",21,"nov",229,3,-1,0,"unknown",0
"112",220,35,"student","single","secondary","no",2960,"yes","no","unknown",30,"may",123,2,-1,0,"unknown",0
"113",753,40,"housemaid","single","primary","no",109,"yes","no","cellular",8,"may",308,1,367,3,"failure",0
"114",752,54,"housemaid","married","primary","no",194,"no","no","cellular",20,"aug",127,2,-1,0,"unknown",0
"115",3613,58,"technician","married","secondary","no",0,"yes","no","cellular",5,"feb",1823,1,205,1,"failure",0
"116",3314,32,"admin.","single","tertiary","no",3816,"yes","no","cellular",21,"nov",53,3,-1,0,"unknown",0
"117",75,27,"management","single","tertiary","no",207,"no","no","telephone",26,"may",240,4,-1,0,"unknown",0
"118",2327,49,"management","married","tertiary","no",-470,"yes","no","unknown",12,"jun",691,1,-1,0,"unknown",0
"119",1348,57,"housemaid","married","secondary","no",158,"yes","no","telephone",10,"jul",73,1,-1,0,"unknown",0
"120",2531,30,"blue-collar","married","secondary","no",913,"yes","yes","cellular",19,"nov",433,2,-1,0,"unknown",0
"121",1453,39,"technician","single","secondary","no",10236,"no","no","unknown",20,"jun",10,3,-1,0,"unknown",0
"122",504,41,"self-employed","married","primary","no",-8,"yes","no","unknown",27,"may",643,2,-1,0,"unknown",0
"123",658,56,"housemaid","married","primary","no",2666,"yes","yes","cellular",29,"jan",94,2,-1,0,"unknown",0
"124",2524,44,"management","married","tertiary","no",149,"yes","no","cellular",29,"jan",507,1,220,2,"success",0
"125",2748,59,"technician","married","secondary","no",2613,"no","no","cellular",5,"feb",79,1,-1,0,"unknown",0
"126",1416,48,"management","single","tertiary","no",460,"yes","no","cellular",3,"feb",91,3,264,2,"other",0
"127",398,38,"management","single","tertiary","no",83,"no","yes","telephone",15,"jul",32,7,-1,0,"unknown",0
"128",1072,36,"management","married","tertiary","no",1041,"yes","no","cellular",14,"may",480,2,-1,0,"unknown",0
"129",1884,37,"self-employed","married","tertiary","no",865,"yes","yes","cellular",9,"jul",332,1,-1,0,"unknown",0
"130",2695,70,"retired","married","secondary","no",2626,"no","no","cellular",2,"sep",140,2,-1,0,"unknown",1
"131",3299,39,"blue-collar","married","secondary","no",661,"yes","no","unknown",12,"may",162,4,-1,0,"unknown",0
"132",3467,70,"blue-collar","married","primary","no",3075,"no","no","telephone",10,"aug",74,1,-1,0,"unknown",0
"133",314,51,"admin.","single","tertiary","no",16,"yes","no","cellular",30,"jan",158,1,-1,0,"unknown",0
"134",2393,39,"blue-collar","married","secondary","no",498,"yes","no","cellular",14,"jul",149,4,-1,0,"unknown",0
"135",2657,36,"admin.","married","secondary","no",0,"yes","no","cellular",24,"apr",83,2,-1,0,"unknown",0
"136",3380,56,"retired","married","secondary","no",0,"no","no","cellular",6,"aug",113,3,-1,0,"unknown",0
"137",2370,37,"technician","single","tertiary","no",3943,"no","no","cellular",19,"nov",37,1,-1,0,"unknown",0
"138",349,50,"self-employed","married","primary","no",0,"no","no","cellular",22,"aug",125,4,-1,0,"unknown",0
"139",2336,48,"management","married","tertiary","no",2960,"no","no","unknown",5,"jun",86,1,-1,0,"unknown",0
"140",2381,35,"management","married","tertiary","no",43,"yes","no","cellular",20,"apr",860,1,-1,0,"unknown",1
"141",1396,47,"entrepreneur","married","secondary","no",1375,"yes","no","telephone",16,"apr",272,2,321,7,"failure",0
"142",1600,58,"blue-collar","divorced","secondary","no",314,"no","no","unknown",25,"jun",67,2,-1,0,"unknown",0
"143",493,57,"blue-collar","divorced","primary","no",3111,"no","no","unknown",16,"jun",92,6,-1,0,"unknown",0
"144",3527,27,"services","single","secondary","no",3110,"yes","no","unknown",3,"jun",356,2,-1,0,"unknown",0
"145",2270,33,"housemaid","married","primary","no",0,"no","no","cellular",8,"aug",138,2,-1,0,"unknown",0
"146",2264,67,"retired","single","tertiary","no",3377,"no","no","telephone",23,"apr",77,2,-1,0,"unknown",0
"147",2954,20,"student","single","secondary","no",291,"no","no","telephone",11,"may",172,5,371,5,"failure",0
"148",3700,30,"technician","married","tertiary","no",0,"no","no","cellular",28,"aug",140,9,-1,0,"unknown",0
"149",2568,38,"services","married","secondary","no",250,"no","no","unknown",17,"jun",72,1,-1,0,"unknown",0
"150",2091,56,"technician","married","secondary","no",589,"yes","no","unknown",23,"oct",518,1,147,2,"success",1
"151",3752,31,"admin.","married","secondary","no",728,"yes","yes","unknown",28,"may",104,4,-1,0,"unknown",0
"152",259,55,"services","married","secondary","no",752,"no","no","unknown",17,"jun",204,2,-1,0,"unknown",0
"153",1135,33,"admin.","single","secondary","no",0,"yes","no","cellular",19,"nov",85,2,-1,0,"unknown",0
"154",2205,51,"entrepreneur","married","tertiary","no",5403,"no","no","unknown",6,"jun",42,1,-1,0,"unknown",0
"155",3661,43,"admin.","married","secondary","no",0,"yes","no","cellular",4,"feb",175,1,-1,0,"unknown",0
"156",2275,57,"retired","divorced","tertiary","no",734,"no","no","cellular",6,"aug",1357,4,-1,0,"unknown",1
"157",1525,46,"blue-collar","married","secondary","no",1270,"yes","no","unknown",17,"jun",277,1,-1,0,"unknown",0
"158",2167,39,"management","married","tertiary","no",183,"yes","no","unknown",9,"may",324,2,-1,0,"unknown",0
"159",3742,54,"technician","married","tertiary","no",758,"yes","yes","cellular",8,"jul",554,1,-1,0,"unknown",0
"160",2632,36,"technician","married","secondary","no",1038,"yes","no","telephone",14,"may",42,3,-1,0,"unknown",0
"161",2376,54,"admin.","married","primary","no",976,"yes","no","unknown",3,"jun",137,3,-1,0,"unknown",0
"162",3802,57,"retired","married","secondary","no",156,"no","yes","unknown",4,"jul",106,2,-1,0,"unknown",0
"163",1555,38,"management","married","tertiary","no",2978,"no","yes","unknown",20,"jun",65,2,-1,0,"unknown",0
"164",2086,43,"self-employed","married","secondary","no",56,"yes","no","cellular",8,"may",612,3,-1,0,"unknown",0
"165",3512,34,"services","divorced","secondary","no",1826,"yes","no","cellular",11,"may",212,1,-1,0,"unknown",0
"166",337,47,"blue-collar","married","secondary","no",303,"no","no","unknown",11,"jun",261,1,-1,0,"unknown",0
"167",3210,48,"management","married","tertiary","no",1567,"yes","no","cellular",20,"aug",77,3,-1,0,"unknown",0
"168",1592,40,"technician","single","primary","no",340,"yes","no","unknown",29,"may",146,1,-1,0,"unknown",0
"169",3046,30,"management","single","tertiary","no",5389,"no","no","cellular",6,"aug",1456,3,-1,0,"unknown",1
"170",3962,56,"housemaid","married","primary","no",0,"yes","yes","cellular",11,"jul",118,2,-1,0,"unknown",0
"171",874,28,"services","single","primary","no",198,"no","no","cellular",4,"feb",976,2,-1,0,"unknown",1
"172",2777,46,"unknown","married","tertiary","no",5837,"no","no","unknown",17,"jun",71,1,-1,0,"unknown",0
"173",1448,33,"admin.","married","secondary","no",252,"yes","no","cellular",22,"jul",270,2,-1,0,"unknown",0
"174",2359,49,"blue-collar","married","secondary","no",0,"no","yes","telephone",10,"jul",564,2,-1,0,"unknown",0
"175",3083,31,"admin.","single","secondary","no",223,"yes","no","cellular",17,"apr",508,1,315,11,"success",0
"176",3979,19,"student","single","unknown","no",108,"no","no","cellular",9,"mar",273,2,182,1,"success",1
"177",3709,22,"student","single","secondary","no",280,"yes","no","unknown",2,"jul",63,4,-1,0,"unknown",0
"178",2126,53,"services","single","secondary","no",1162,"yes","no","cellular",18,"may",185,1,178,1,"failure",0
"179",143,35,"technician","married","tertiary","no",1006,"no","no","cellular",22,"aug",69,4,-1,0,"unknown",0
"180",3107,34,"technician","divorced","secondary","no",347,"no","no","cellular",29,"aug",15,14,-1,0,"unknown",0
"181",2020,45,"technician","divorced","secondary","no",30,"yes","yes","cellular",17,"nov",88,1,-1,0,"unknown",0
"182",3405,59,"retired","divorced","secondary","no",479,"no","no","cellular",4,"feb",37,5,-1,0,"unknown",0
"183",197,41,"unemployed","married","tertiary","no",0,"no","no","cellular",30,"oct",373,3,-1,0,"unknown",1
"184",2781,38,"blue-collar","single","secondary","no",711,"yes","no","cellular",24,"feb",254,5,140,1,"other",0
"185",1811,57,"services","married","secondary","no",140,"yes","no","cellular",9,"jul",143,1,-1,0,"unknown",0
"186",2002,46,"self-employed","married","tertiary","no",2421,"no","no","cellular",19,"nov",1084,1,100,4,"failure",1
"187",2935,35,"technician","divorced","secondary","no",2,"no","no","unknown",3,"jul",88,1,-1,0,"unknown",0
"188",3664,46,"blue-collar","married","secondary","no",942,"no","no","telephone",22,"jul",425,2,-1,0,"unknown",0
"189",3620,64,"retired","married","primary","no",5871,"no","no","cellular",3,"nov",195,1,-1,0,"unknown",0
"190",3556,36,"blue-collar","married","secondary","yes",-2,"no","no","unknown",2,"jun",316,1,-1,0,"unknown",0
"191",3826,34,"management","married","tertiary","no",180,"no","no","cellular",16,"jun",298,3,-1,0,"unknown",0
"192",3585,59,"retired","married","secondary","no",836,"yes","no","unknown",7,"may",106,1,-1,0,"unknown",0
"193",1328,49,"entrepreneur","divorced","secondary","no",816,"yes","no","cellular",14,"may",12,7,-1,0,"unknown",0
"194",558,30,"technician","single","secondary","no",1626,"no","no","cellular",25,"jul",566,3,-1,0,"unknown",0
"195",3472,34,"management","single","tertiary","no",11350,"yes","no","cellular",20,"nov",159,1,-1,0,"unknown",0
"196",3498,29,"technician","single","secondary","no",-2,"yes","yes","cellular",18,"may",9,5,-1,0,"unknown",0
"197",3883,35,"management","married","tertiary","no",354,"no","yes","cellular",9,"feb",117,4,12,2,"other",0
"198",2423,50,"blue-collar","married","secondary","no",253,"yes","yes","cellular",5,"may",475,2,-1,0,"unknown",0
"199",1030,43,"technician","single","secondary","no",0,"yes","no","unknown",14,"may",37,3,-1,0,"unknown",0
"200",517,46,"retired","married","primary","no",1374,"no","yes","unknown",14,"may",22,3,-1,0,"unknown",0
"201",919,42,"admin.","single","unknown","no",22,"no","no","unknown",19,"jun",246,3,-1,0,"unknown",0
"202",1020,41,"technician","single","secondary","no",32,"yes","no","cellular",7,"may",162,1,-1,0,"unknown",0
"203",3456,51,"blue-collar","married","primary","no",565,"yes","yes","cellular",5,"may",157,7,250,3,"failure",0
"204",3628,27,"services","married","secondary","no",0,"yes","no","cellular",22,"jul",1608,13,-1,0,"unknown",1
"205",25,59,"retired","married","primary","no",0,"no","no","unknown",17,"jun",192,1,-1,0,"unknown",0
"206",3653,26,"self-employed","single","tertiary","no",1444,"no","no","cellular",12,"jun",139,5,-1,0,"unknown",0
"207",3662,41,"self-employed","married","tertiary","no",-326,"yes","yes","unknown",23,"may",86,2,-1,0,"unknown",0
"208",1520,30,"blue-collar","divorced","secondary","no",0,"no","yes","cellular",8,"jul",320,1,-1,0,"unknown",0
"209",2968,47,"blue-collar","married","primary","no",3067,"yes","no","cellular",13,"may",141,2,-1,0,"unknown",0
"210",2645,34,"blue-collar","single","secondary","no",-96,"yes","no","unknown",27,"may",153,2,-1,0,"unknown",0
"211",2819,23,"student","single","secondary","no",318,"yes","no","unknown",9,"may",545,2,-1,0,"unknown",0
"212",205,29,"management","single","tertiary","no",224,"yes","no","cellular",24,"apr",65,2,81,3,"failure",1
"213",631,49,"services","divorced","secondary","no",0,"no","no","cellular",28,"jul",412,2,-1,0,"unknown",1
"214",3149,31,"services","married","secondary","no",0,"yes","no","cellular",8,"may",274,2,-1,0,"unknown",0
"215",3192,35,"management","married","tertiary","no",697,"no","no","cellular",5,"jun",57,2,304,1,"failure",0
"216",1045,46,"admin.","married","secondary","no",2148,"no","no","cellular",8,"aug",176,4,-1,0,"unknown",0
"217",3055,40,"entrepreneur","single","secondary","no",5,"no","yes","cellular",15,"jul",117,3,-1,0,"unknown",0
"218",2018,41,"housemaid","divorced","primary","no",22,"yes","no","cellular",18,"nov",238,3,126,4,"other",0
"219",2170,33,"admin.","married","secondary","no",258,"yes","no","cellular",5,"may",37,1,-1,0,"unknown",0
"220",2656,54,"services","married","secondary","no",869,"no","no","cellular",14,"aug",152,2,-1,0,"unknown",0
"221",2090,49,"blue-collar","married","secondary","no",171,"no","no","telephone",5,"feb",260,6,-1,0,"unknown",0
"222",1788,55,"technician","single","tertiary","no",-528,"no","no","cellular",28,"jul",246,2,-1,0,"unknown",0
"223",3686,54,"services","married","secondary","no",2681,"no","no","telephone",29,"jul",481,3,-1,0,"unknown",0
"224",253,42,"technician","divorced","secondary","no",2974,"yes","no","unknown",21,"may",187,5,-1,0,"unknown",0
"225",3553,36,"entrepreneur","married","tertiary","no",0,"yes","no","cellular",9,"apr",339,1,-1,0,"unknown",0
"226",3337,58,"technician","married","secondary","no",86,"no","no","cellular",30,"jul",95,3,-1,0,"unknown",0
"227",45,30,"admin.","married","secondary","no",182,"yes","yes","cellular",5,"may",143,1,364,1,"failure",0
"228",1998,45,"housemaid","single","primary","no",959,"yes","no","telephone",6,"feb",156,2,-1,0,"unknown",0
"229",3994,40,"admin.","married","secondary","no",3126,"yes","no","cellular",30,"mar",186,2,90,5,"failure",0
"230",1060,41,"technician","married","secondary","no",130,"no","no","unknown",17,"jun",160,3,-1,0,"unknown",0
"231",2180,35,"unemployed","single","primary","no",-17,"no","no","cellular",28,"jan",100,1,-1,0,"unknown",0
"232",288,37,"management","married","tertiary","no",0,"no","no","cellular",4,"aug",96,1,-1,0,"unknown",0
"233",355,40,"technician","married","secondary","no",312,"no","no","cellular",25,"may",612,7,-1,0,"unknown",1
"234",2879,37,"services","married","primary","no",52,"yes","no","unknown",7,"may",359,1,-1,0,"unknown",0
"235",2521,35,"technician","single","secondary","no",7530,"no","no","cellular",18,"nov",117,1,-1,0,"unknown",0
"236",2082,44,"services","married","secondary","no",-230,"yes","yes","unknown",27,"may",99,1,-1,0,"unknown",0
"237",461,54,"management","divorced","tertiary","no",496,"no","no","cellular",2,"jun",161,1,140,3,"success",0
"238",1221,54,"blue-collar","married","secondary","no",2047,"no","no","telephone",9,"feb",150,7,194,6,"failure",0
"239",1964,36,"services","single","secondary","no",774,"yes","no","cellular",3,"feb",231,2,259,1,"failure",0
"240",176,45,"self-employed","single","secondary","no",2762,"yes","no","cellular",15,"may",18,6,-1,0,"unknown",0
"241",3373,28,"admin.","single","primary","no",25,"yes","no","cellular",18,"may",296,2,-1,0,"unknown",0
"242",3468,38,"technician","married","tertiary","no",1997,"yes","no","cellular",6,"apr",90,10,-1,0,"unknown",0
"243",991,60,"housemaid","married","primary","no",11904,"no","no","telephone",6,"jul",116,3,-1,0,"unknown",0
"244",992,29,"admin.","single","secondary","no",1028,"yes","no","unknown",14,"may",343,1,-1,0,"unknown",0
"245",2027,37,"management","married","tertiary","no",5065,"no","no","cellular",27,"aug",23,19,-1,0,"unknown",0
"246",3155,52,"entrepreneur","married","tertiary","yes",-468,"no","no","cellular",8,"jul",534,1,-1,0,"unknown",1
"247",2240,36,"blue-collar","married","secondary","no",0,"yes","no","cellular",5,"may",189,1,-1,0,"unknown",0
"248",2729,44,"admin.","single","tertiary","no",10,"no","no","unknown",1,"jul",158,2,-1,0,"unknown",0
"249",3463,31,"self-employed","single","tertiary","no",578,"yes","no","cellular",17,"apr",664,1,319,4,"failure",0
"250",2577,46,"management","single","tertiary","no",6651,"no","no","cellular",23,"mar",233,1,-1,0,"unknown",0
"251",3679,34,"services","married","secondary","no",0,"yes","no","unknown",19,"may",115,4,-1,0,"unknown",0
"252",3323,44,"technician","divorced","secondary","no",0,"yes","no","cellular",28,"jul",463,2,-1,0,"unknown",0
"253",3743,30,"self-employed","single","tertiary","no",76,"no","yes","cellular",23,"jul",100,2,-1,0,"unknown",0
"254",2895,42,"technician","married","secondary","no",-813,"yes","no","unknown",18,"jun",36,4,-1,0,"unknown",0
"255",3409,38,"technician","divorced","secondary","no",-453,"no","yes","cellular",27,"aug",15,9,-1,0,"unknown",0
